LifeZone,AIDBSPP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Boreal wet forest,Norway spruce,0.0,0.1852302968113697,0.6290553412052863,1.277967853608321,2.103788362569432,3.0863053805246845,4.2094778957623715,5.4598911525824,6.825967033671233,8.297502464742132,9.865374177864295,11.521337140965219,13.25787991292095,15.0681166863156,16.945704104960544,18.884775462055575,20.879887486002257,22.925976492188436,25.01832166745001,27.15251389741824,29.32442897855221,31.530204353722667,33.76621871940295,36.0290740028483,38.31557931764501,40.622736587827696,42.94772759252347,45.287902230333884,47.640767839264285,50.00397943668229,52.37533076647993,54.75274605875489,57.134272421952595,59.518072799307525,61.902419431171246,64.28568777286289,66.66635082436983,69.04297383382367,71.41420934138843,73.77879253418884,76.13553688630114,78.4833300607363,80.82113005284317,83.14796155671891,85.46291253808643,87.7651309987318,90.05382191902201,92.3282443662792,94.58770875789203,96.83157426902496,99.05924637565293,101.27017452442462,103.46384992154627,105.63980343349907,107.7976035929578,109.93685470378152,112.05719503939729,114.15829512931096,116.23985612884849,118.30160826757178,120.34330937212138,122.36474345951999,124.36571939723018,126.34606962649579,128.305648945716,130.2443333507994,132.1620189296333,134.05862080797243,135.93407214421092,137.78832317064726,139.6213402789891,141.43310514797093,143.22361391107526,144.9928763624586,146.7409151992856,148.46776529877098,150.173473028317,151.85809558722121,153.52170037850425,155.16436440948445,156.78617371979303,158.3872228355909,159.96761424880705,161.52745792027918,163.0668708057289,164.5859764035576,166.08490432349538,167.56378987518355,169.02277367581243,170.46200127597888,171.8816228029655,173.28179262068113,174.66266900553637,176.0244138375619,177.3671923061071,178.69117262948848,179.99652578798316,181.28342526959165,182.55204682801866,183.802568252345,185.03516914788702,186.25003072776184,187.44733561469792,188.62726765265015,189.79001172779726,190.93575359851874,192.06467973396485,193.17697716084925,194.27283331811128,195.35243591910825,196.41597282101307,197.46363190110708,198.49560093966926,199.512067509177,200.5132188695458,201.49924186914438,202.47032285133614,203.42664756630484,204.3684010879354,205.29576773552807,206.2089310001344,207.1080734753123,207.99337679210566,208.86502155806178,209.72318730010792,210.56805241111564,211.39979409998864,212.2185883451163,213.02460985104236,213.81803200820286,214.59902685559592,215.36776504624888,216.12441581535577,216.86914695096291,217.60212476708426,218.32351407913526,219.03347818157604,219.7321788276616,220.419776211199,221.09642895021648,221.7622940724539,222.41752700258664,223.06228155109918,223.69670990472787,224.32096261839675,224.93518860857134,225.53953514796058,226.13414786149863,226.7191707235425,227.2947460562215,227.8610145288807,228.41811515856,228.96618531145498,229.50536070530603,230.03577541266665,230.55756186500201,231.07085085757203,231.57577155505484,232.0724514978685,232.56101660915004,233.0415912023541,233.514297989433,233.97925808956373,234.43659103838752,234.88641479772966,235.32884576576836,235.76399878762382,236.19198716633764,236.61292267421732,237.0269155645184,237.43407458344038,237.8345069824124,238.22831853064673,238.6156135279374,238.99649481768435,239.3710638001235,239.7394204457432,240.10166330886992,240.45788954140627,240.80819490670416,241.15267379355885,241.4914192303084,241.82452289902463,242.1520751497825,242.47416501499484,242.79088022380077,243.10230721649597,243.40853115899412,243.70963595730902,244.00570427204778,244.29681753290552,244.58305595315295,244.86449854410793,245.14122312958446,245.41330636030924,245.68082372830165,245.94384958120764,246.20245713658335,246.45671849612106,246.70670465981294,246.95248554004607
Cool temperate moist forest,Norway spruce,0.0,0.1852302968113697,0.6290553412052863,1.277967853608321,2.103788362569432,3.0863053805246845,4.2094778957623715,5.4598911525824,6.825967033671233,8.297502464742132,9.865374177864295,11.521337140965219,13.25787991292095,15.0681166863156,16.945704104960544,18.884775462055575,20.879887486002257,22.925976492188436,25.01832166745001,27.15251389741824,29.32442897855221,31.530204353722667,33.76621871940295,36.0290740028483,38.31557931764501,40.622736587827696,42.94772759252347,45.287902230333884,47.640767839264285,50.00397943668229,52.37533076647993,54.75274605875489,57.134272421952595,59.518072799307525,61.902419431171246,64.28568777286289,66.66635082436983,69.04297383382367,71.41420934138843,73.77879253418884,76.13553688630114,78.4833300607363,80.82113005284317,83.14796155671891,85.46291253808643,87.7651309987318,90.05382191902201,92.3282443662792,94.58770875789203,96.83157426902496,99.05924637565293,101.27017452442462,103.46384992154627,105.63980343349907,107.7976035929578,109.93685470378152,112.05719503939729,114.15829512931096,116.23985612884849,118.30160826757178,120.34330937212138,122.36474345951999,124.36571939723018,126.34606962649579,128.305648945716,130.2443333507994,132.1620189296333,134.05862080797243,135.93407214421092,137.78832317064726,139.6213402789891,141.43310514797093,143.22361391107526,144.9928763624586,146.7409151992856,148.46776529877098,150.173473028317,151.85809558722121,153.52170037850425,155.16436440948445,156.78617371979303,158.3872228355909,159.96761424880705,161.52745792027918,163.0668708057289,164.5859764035576,166.08490432349538,167.56378987518355,169.02277367581243,170.46200127597888,171.8816228029655,173.28179262068113,174.66266900553637,176.0244138375619,177.3671923061071,178.69117262948848,179.99652578798316,181.28342526959165,182.55204682801866,183.802568252345,185.03516914788702,186.25003072776184,187.44733561469792,188.62726765265015,189.79001172779726,190.93575359851874,192.06467973396485,193.17697716084925,194.27283331811128,195.35243591910825,196.41597282101307,197.46363190110708,198.49560093966926,199.512067509177,200.5132188695458,201.49924186914438,202.47032285133614,203.42664756630484,204.3684010879354,205.29576773552807,206.2089310001344,207.1080734753123,207.99337679210566,208.86502155806178,209.72318730010792,210.56805241111564,211.39979409998864,212.2185883451163,213.02460985104236,213.81803200820286,214.59902685559592,215.36776504624888,216.12441581535577,216.86914695096291,217.60212476708426,218.32351407913526,219.03347818157604,219.7321788276616,220.419776211199,221.09642895021648,221.7622940724539,222.41752700258664,223.06228155109918,223.69670990472787,224.32096261839675,224.93518860857134,225.53953514796058,226.13414786149863,226.7191707235425,227.2947460562215,227.8610145288807,228.41811515856,228.96618531145498,229.50536070530603,230.03577541266665,230.55756186500201,231.07085085757203,231.57577155505484,232.0724514978685,232.56101660915004,233.0415912023541,233.514297989433,233.97925808956373,234.43659103838752,234.88641479772966,235.32884576576836,235.76399878762382,236.19198716633764,236.61292267421732,237.0269155645184,237.43407458344038,237.8345069824124,238.22831853064673,238.6156135279374,238.99649481768435,239.3710638001235,239.7394204457432,240.10166330886992,240.45788954140627,240.80819490670416,241.15267379355885,241.4914192303084,241.82452289902463,242.1520751497825,242.47416501499484,242.79088022380077,243.10230721649597,243.40853115899412,243.70963595730902,244.00570427204778,244.29681753290552,244.58305595315295,244.86449854410793,245.14122312958446,245.41330636030924,245.68082372830165,245.94384958120764,246.20245713658335,246.45671849612106,246.70670465981294,246.95248554004607
Cool temperate steppe,Norway spruce,0.0,0.1852302968113697,0.6290553412052863,1.277967853608321,2.103788362569432,3.0863053805246845,4.2094778957623715,5.4598911525824,6.825967033671233,8.297502464742132,9.865374177864295,11.521337140965219,13.25787991292095,15.0681166863156,16.945704104960544,18.884775462055575,20.879887486002257,22.925976492188436,25.01832166745001,27.15251389741824,29.32442897855221,31.530204353722667,33.76621871940295,36.0290740028483,38.31557931764501,40.622736587827696,42.94772759252347,45.287902230333884,47.640767839264285,50.00397943668229,52.37533076647993,54.75274605875489,57.134272421952595,59.518072799307525,61.902419431171246,64.28568777286289,66.66635082436983,69.04297383382367,71.41420934138843,73.77879253418884,76.13553688630114,78.4833300607363,80.82113005284317,83.14796155671891,85.46291253808643,87.7651309987318,90.05382191902201,92.3282443662792,94.58770875789203,96.83157426902496,99.05924637565293,101.27017452442462,103.46384992154627,105.63980343349907,107.7976035929578,109.93685470378152,112.05719503939729,114.15829512931096,116.23985612884849,118.30160826757178,120.34330937212138,122.36474345951999,124.36571939723018,126.34606962649579,128.305648945716,130.2443333507994,132.1620189296333,134.05862080797243,135.93407214421092,137.78832317064726,139.6213402789891,141.43310514797093,143.22361391107526,144.9928763624586,146.7409151992856,148.46776529877098,150.173473028317,151.85809558722121,153.52170037850425,155.16436440948445,156.78617371979303,158.3872228355909,159.96761424880705,161.52745792027918,163.0668708057289,164.5859764035576,166.08490432349538,167.56378987518355,169.02277367581243,170.46200127597888,171.8816228029655,173.28179262068113,174.66266900553637,176.0244138375619,177.3671923061071,178.69117262948848,179.99652578798316,181.28342526959165,182.55204682801866,183.802568252345,185.03516914788702,186.25003072776184,187.44733561469792,188.62726765265015,189.79001172779726,190.93575359851874,192.06467973396485,193.17697716084925,194.27283331811128,195.35243591910825,196.41597282101307,197.46363190110708,198.49560093966926,199.512067509177,200.5132188695458,201.49924186914438,202.47032285133614,203.42664756630484,204.3684010879354,205.29576773552807,206.2089310001344,207.1080734753123,207.99337679210566,208.86502155806178,209.72318730010792,210.56805241111564,211.39979409998864,212.2185883451163,213.02460985104236,213.81803200820286,214.59902685559592,215.36776504624888,216.12441581535577,216.86914695096291,217.60212476708426,218.32351407913526,219.03347818157604,219.7321788276616,220.419776211199,221.09642895021648,221.7622940724539,222.41752700258664,223.06228155109918,223.69670990472787,224.32096261839675,224.93518860857134,225.53953514796058,226.13414786149863,226.7191707235425,227.2947460562215,227.8610145288807,228.41811515856,228.96618531145498,229.50536070530603,230.03577541266665,230.55756186500201,231.07085085757203,231.57577155505484,232.0724514978685,232.56101660915004,233.0415912023541,233.514297989433,233.97925808956373,234.43659103838752,234.88641479772966,235.32884576576836,235.76399878762382,236.19198716633764,236.61292267421732,237.0269155645184,237.43407458344038,237.8345069824124,238.22831853064673,238.6156135279374,238.99649481768435,239.3710638001235,239.7394204457432,240.10166330886992,240.45788954140627,240.80819490670416,241.15267379355885,241.4914192303084,241.82452289902463,242.1520751497825,242.47416501499484,242.79088022380077,243.10230721649597,243.40853115899412,243.70963595730902,244.00570427204778,244.29681753290552,244.58305595315295,244.86449854410793,245.14122312958446,245.41330636030924,245.68082372830165,245.94384958120764,246.20245713658335,246.45671849612106,246.70670465981294,246.95248554004607
Cool temperate wet forest,Norway spruce,0.0,0.1852302968113697,0.6290553412052863,1.277967853608321,2.103788362569432,3.0863053805246845,4.2094778957623715,5.4598911525824,6.825967033671233,8.297502464742132,9.865374177864295,11.521337140965219,13.25787991292095,15.0681166863156,16.945704104960544,18.884775462055575,20.879887486002257,22.925976492188436,25.01832166745001,27.15251389741824,29.32442897855221,31.530204353722667,33.76621871940295,36.0290740028483,38.31557931764501,40.622736587827696,42.94772759252347,45.287902230333884,47.640767839264285,50.00397943668229,52.37533076647993,54.75274605875489,57.134272421952595,59.518072799307525,61.902419431171246,64.28568777286289,66.66635082436983,69.04297383382367,71.41420934138843,73.77879253418884,76.13553688630114,78.4833300607363,80.82113005284317,83.14796155671891,85.46291253808643,87.7651309987318,90.05382191902201,92.3282443662792,94.58770875789203,96.83157426902496,99.05924637565293,101.27017452442462,103.46384992154627,105.63980343349907,107.7976035929578,109.93685470378152,112.05719503939729,114.15829512931096,116.23985612884849,118.30160826757178,120.34330937212138,122.36474345951999,124.36571939723018,126.34606962649579,128.305648945716,130.2443333507994,132.1620189296333,134.05862080797243,135.93407214421092,137.78832317064726,139.6213402789891,141.43310514797093,143.22361391107526,144.9928763624586,146.7409151992856,148.46776529877098,150.173473028317,151.85809558722121,153.52170037850425,155.16436440948445,156.78617371979303,158.3872228355909,159.96761424880705,161.52745792027918,163.0668708057289,164.5859764035576,166.08490432349538,167.56378987518355,169.02277367581243,170.46200127597888,171.8816228029655,173.28179262068113,174.66266900553637,176.0244138375619,177.3671923061071,178.69117262948848,179.99652578798316,181.28342526959165,182.55204682801866,183.802568252345,185.03516914788702,186.25003072776184,187.44733561469792,188.62726765265015,189.79001172779726,190.93575359851874,192.06467973396485,193.17697716084925,194.27283331811128,195.35243591910825,196.41597282101307,197.46363190110708,198.49560093966926,199.512067509177,200.5132188695458,201.49924186914438,202.47032285133614,203.42664756630484,204.3684010879354,205.29576773552807,206.2089310001344,207.1080734753123,207.99337679210566,208.86502155806178,209.72318730010792,210.56805241111564,211.39979409998864,212.2185883451163,213.02460985104236,213.81803200820286,214.59902685559592,215.36776504624888,216.12441581535577,216.86914695096291,217.60212476708426,218.32351407913526,219.03347818157604,219.7321788276616,220.419776211199,221.09642895021648,221.7622940724539,222.41752700258664,223.06228155109918,223.69670990472787,224.32096261839675,224.93518860857134,225.53953514796058,226.13414786149863,226.7191707235425,227.2947460562215,227.8610145288807,228.41811515856,228.96618531145498,229.50536070530603,230.03577541266665,230.55756186500201,231.07085085757203,231.57577155505484,232.0724514978685,232.56101660915004,233.0415912023541,233.514297989433,233.97925808956373,234.43659103838752,234.88641479772966,235.32884576576836,235.76399878762382,236.19198716633764,236.61292267421732,237.0269155645184,237.43407458344038,237.8345069824124,238.22831853064673,238.6156135279374,238.99649481768435,239.3710638001235,239.7394204457432,240.10166330886992,240.45788954140627,240.80819490670416,241.15267379355885,241.4914192303084,241.82452289902463,242.1520751497825,242.47416501499484,242.79088022380077,243.10230721649597,243.40853115899412,243.70963595730902,244.00570427204778,244.29681753290552,244.58305595315295,244.86449854410793,245.14122312958446,245.41330636030924,245.68082372830165,245.94384958120764,246.20245713658335,246.45671849612106,246.70670465981294,246.95248554004607
Polar rain tundra,Norway spruce,0.0,0.1852302968113697,0.6290553412052863,1.277967853608321,2.103788362569432,3.0863053805246845,4.2094778957623715,5.4598911525824,6.825967033671233,8.297502464742132,9.865374177864295,11.521337140965219,13.25787991292095,15.0681166863156,16.945704104960544,18.884775462055575,20.879887486002257,22.925976492188436,25.01832166745001,27.15251389741824,29.32442897855221,31.530204353722667,33.76621871940295,36.0290740028483,38.31557931764501,40.622736587827696,42.94772759252347,45.287902230333884,47.640767839264285,50.00397943668229,52.37533076647993,54.75274605875489,57.134272421952595,59.518072799307525,61.902419431171246,64.28568777286289,66.66635082436983,69.04297383382367,71.41420934138843,73.77879253418884,76.13553688630114,78.4833300607363,80.82113005284317,83.14796155671891,85.46291253808643,87.7651309987318,90.05382191902201,92.3282443662792,94.58770875789203,96.83157426902496,99.05924637565293,101.27017452442462,103.46384992154627,105.63980343349907,107.7976035929578,109.93685470378152,112.05719503939729,114.15829512931096,116.23985612884849,118.30160826757178,120.34330937212138,122.36474345951999,124.36571939723018,126.34606962649579,128.305648945716,130.2443333507994,132.1620189296333,134.05862080797243,135.93407214421092,137.78832317064726,139.6213402789891,141.43310514797093,143.22361391107526,144.9928763624586,146.7409151992856,148.46776529877098,150.173473028317,151.85809558722121,153.52170037850425,155.16436440948445,156.78617371979303,158.3872228355909,159.96761424880705,161.52745792027918,163.0668708057289,164.5859764035576,166.08490432349538,167.56378987518355,169.02277367581243,170.46200127597888,171.8816228029655,173.28179262068113,174.66266900553637,176.0244138375619,177.3671923061071,178.69117262948848,179.99652578798316,181.28342526959165,182.55204682801866,183.802568252345,185.03516914788702,186.25003072776184,187.44733561469792,188.62726765265015,189.79001172779726,190.93575359851874,192.06467973396485,193.17697716084925,194.27283331811128,195.35243591910825,196.41597282101307,197.46363190110708,198.49560093966926,199.512067509177,200.5132188695458,201.49924186914438,202.47032285133614,203.42664756630484,204.3684010879354,205.29576773552807,206.2089310001344,207.1080734753123,207.99337679210566,208.86502155806178,209.72318730010792,210.56805241111564,211.39979409998864,212.2185883451163,213.02460985104236,213.81803200820286,214.59902685559592,215.36776504624888,216.12441581535577,216.86914695096291,217.60212476708426,218.32351407913526,219.03347818157604,219.7321788276616,220.419776211199,221.09642895021648,221.7622940724539,222.41752700258664,223.06228155109918,223.69670990472787,224.32096261839675,224.93518860857134,225.53953514796058,226.13414786149863,226.7191707235425,227.2947460562215,227.8610145288807,228.41811515856,228.96618531145498,229.50536070530603,230.03577541266665,230.55756186500201,231.07085085757203,231.57577155505484,232.0724514978685,232.56101660915004,233.0415912023541,233.514297989433,233.97925808956373,234.43659103838752,234.88641479772966,235.32884576576836,235.76399878762382,236.19198716633764,236.61292267421732,237.0269155645184,237.43407458344038,237.8345069824124,238.22831853064673,238.6156135279374,238.99649481768435,239.3710638001235,239.7394204457432,240.10166330886992,240.45788954140627,240.80819490670416,241.15267379355885,241.4914192303084,241.82452289902463,242.1520751497825,242.47416501499484,242.79088022380077,243.10230721649597,243.40853115899412,243.70963595730902,244.00570427204778,244.29681753290552,244.58305595315295,244.86449854410793,245.14122312958446,245.41330636030924,245.68082372830165,245.94384958120764,246.20245713658335,246.45671849612106,246.70670465981294,246.95248554004607
